region,lga,ward,subvillage,longitude_imputed_subvillage
Arusha,Arusha Rural,Ilkiding'a,Mpakani,36.6613391675
Arusha,Arusha Rural,Ilkiding'a,Mteriani,36.68512325
Arusha,Arusha Rural,Ilkiding'a,Mula,36.685445621666666
Arusha,Arusha Rural,Ilkiding'a,Munga,36.69233104
Arusha,Arusha Rural,Ilkiding'a,Mwenge,36.67383618
Arusha,Arusha Rural,Ilkiding'a,Ndikana,36.68382424
Arusha,Arusha Rural,Ilkiding'a,Oleiguruno,36.694359174545454
Arusha,Arusha Rural,Ilkiding'a,Olinyidi,36.67275959
Arusha,Arusha Rural,Ilkiding'a,Olodonyo,36.70461729
Arusha,Arusha Rural,Ilkiding'a,Olumeli,36.69399922428572
Arusha,Arusha Rural,Ilkiding'a,Olumeri,36.69376396
Arusha,Arusha Rural,Ilkiding'a,Sindikala,36.683666935000005
Arusha,Arusha Rural,Kimnyaki,Kaibuku,36.646883384285715
Arusha,Arusha Rural,Kimnyaki,Kitendo,36.6504945875
Arusha,Arusha Rural,Kimnyaki,Leinevuni,36.6550199
Arusha,Arusha Rural,Kimnyaki,Lekako,36.658323591249996
Arusha,Arusha Rural,Kimnyaki,Lendavunye,36.65740287
Arusha,Arusha Rural,Kimnyaki,Leparieti,36.650686173333334
Arusha,Arusha Rural,Kimnyaki,Loibangoti,36.665206495
Arusha,Arusha Rural,Kimnyaki,Longido,36.641157254999996
Arusha,Arusha Rural,Kimnyaki,Maina,36.663796242000004
Arusha,Arusha Rural,Kimnyaki,Mebaku,36.65532726
Arusha,Arusha Rural,Kimnyaki,Melebuki,36.657218432
Arusha,Arusha Rural,Kimnyaki,Mitaloni,36.664423155
Arusha,Arusha Rural,Kimnyaki,Moilo,36.644365156666666
Arusha,Arusha Rural,Kimnyaki,Mringa Msingi,36.63947173
Arusha,Arusha Rural,Kimnyaki,Ngaramtoni,36.63953002333333
Arusha,Arusha Rural,Kimnyaki,Shule,36.67398802
Arusha,Arusha Rural,Kimnyaki,Sumlei,36.641148193846156
Arusha,Arusha Rural,Kimnyaki,Uavii,36.65860458
Arusha,Arusha Rural,Kimnyaki,Wataalam,36.65738652
Arusha,Arusha Rural,Kimnyaki,Yoanes,36.637927893333334
Arusha,Arusha Rural,Kiranyi,Bondeni,36.66406174
Arusha,Arusha Rural,Kiranyi,Burka,36.64234653
Arusha,Arusha Rural,Kiranyi,Endeves,36.65882105125
Arusha,Arusha Rural,Kiranyi,Ilimitongo,36.6542037325
Arusha,Arusha Rural,Kiranyi,Inyuata,36.668251456
Arusha,Arusha Rural,Kiranyi,Kibori,36.66732392
Arusha,Arusha Rural,Kiranyi,Kigongoni,36.66327754
Arusha,Arusha Rural,Kiranyi,Leparieti,36.64916396
Arusha,Arusha Rural,Kiranyi,Longolu,36.674486455
Arusha,Arusha Rural,Kiranyi,Moikani,36.67736480833333
Arusha,Arusha Rural,Kiranyi,Mringa Msingi,36.638143095000004
Arusha,Arusha Rural,Kiranyi,Mringa Sekondari,36.629676843571424
Arusha,Arusha Rural,Kiranyi,Mutishu,36.675976256666665
Arusha,Arusha Rural,Kiranyi,Natema,36.675908836
Arusha,Arusha Rural,Kiranyi,Ndoivo,36.68809411
Arusha,Arusha Rural,Kiranyi,Ngwramu,36.65091574
Arusha,Arusha Rural,Kiranyi,Olorien,36.651226544000004
Arusha,Arusha Rural,Kiranyi,Sabore,36.644559712
Arusha,Arusha Rural,Kiranyi,Saborien,36.65006074666667
Arusha,Arusha Rural,Kiranyi,Sakei,36.67593396083333
Arusha,Arusha Rural,Kiranyi,School,36.64170263
Arusha,Arusha Rural,Kiranyi,Soine,36.660709078000004
Arusha,Arusha Rural,Kiranyi,Tanaka,36.68394965666667
Arusha,Arusha Rural,Kiranyi,Voole,36.63459675
Arusha,Arusha Rural,Kisongo,Engorora Kati,36.549203915
Arusha,Arusha Rural,Kisongo,Longululu,36.52741378214286
Arusha,Arusha Rural,Kisongo,Longuluyo,36.533717415
Arusha,Arusha Rural,Kisongo,Losingila,36.50569835
Arusha,Arusha Rural,Kisongo,Lovilikuny,36.54455441
Arusha,Arusha Rural,Kisongo,Lovilukuny,36.5399675
Arusha,Arusha Rural,Kisongo,Matasa,36.56030148
Arusha,Arusha Rural,Kisongo,Naromolu,36.52548898714286
Arusha,Arusha Rural,Kisongo,Olesiraa,36.48516283
Arusha,Arusha Rural,Mateves,Lemgulu,36.5616008225
Arusha,Arusha Rural,Mateves,Matasy,36.56853821333333
Arusha,Arusha Rural,Mateves,Milongoine,36.60058454
Arusha,Arusha Rural,Mateves,Mlimani Farm,36.580063886666665
Arusha,Arusha Rural,Mateves,Ngobob,36.5671695
Arusha,Arusha Rural,Mateves,Ngorbob,36.572452104999996
Arusha,Arusha Rural,Mateves,Nguruvani,36.57289851
Arusha,Arusha Rural,Mateves,Olnoswa,36.56934594
Arusha,Arusha Rural,Mateves,Saravo,36.58684944
Arusha,Arusha Rural,Mateves,Sovoyo,36.5848503075
Arusha,Arusha Rural,Mlangarini,Bondeni,36.783419475
Arusha,Arusha Rural,Mlangarini,Kiselya,36.746304741
Arusha,Arusha Rural,Mlangarini,Lesoit,36.72446272
Arusha,Arusha Rural,Mlangarini,Lunesela,36.8105092
Arusha,Arusha Rural,Mlangarini,Majengo,36.797585047
Arusha,Arusha Rural,Mlangarini,Makao Mapya,36.79651786666667
Arusha,Arusha Rural,Mlangarini,Maloloi,36.77057901
Arusha,Arusha Rural,Mlangarini,Mbuni,36.73346704
Arusha,Arusha Rural,Mlangarini,Mlangarini Kati,36.78777319352941
Arusha,Arusha Rural,Mlangarini,Mlimani,36.732725423333335
Arusha,Arusha Rural,Mlangarini,Muungano,36.733671718000004
Arusha,Arusha Rural,Mlangarini,Olodendereit,36.73394648
Arusha,Arusha Rural,Mlangarini,Olomitu,36.76019673533334
Arusha,Arusha Rural,Mlangarini,Olumesela,36.816387395
Arusha,Arusha Rural,Mlangarini,Upendo,36.802632849999995
Arusha,Arusha Rural,Moivo,Enaboishu,36.70216692
Arusha,Arusha Rural,Moivo,Ilboru,36.68793519
Arusha,Arusha Rural,Moivo,Lebusha,36.69130784666667
Arusha,Arusha Rural,Moivo,Leshabala,36.69569150666666
Arusha,Arusha Rural,Moivo,Leshabale,36.6991465425
Arusha,Arusha Rural,Moivo,Leshobale,36.69839609
Arusha,Arusha Rural,Moivo,Lesimanga,36.684428452
Arusha,Arusha Rural,Moivo,Lobora,36.6907605
Arusha,Arusha Rural,Moivo,Marikanda,36.690246965
Arusha,Arusha Rural,Moivo,Ndulele,36.68510312777778
Arusha,Arusha Rural,Moivo,Sama,36.701225524
Arusha,Arusha Rural,Moivo,Shule,36.68845666
Arusha,Arusha Rural,Moshono,Kalimaji,36.718790205
Arusha,Arusha Rural,Moshono,Kalimaji Kati,36.73035028
Arusha,Arusha Rural,Moshono,Karimaji,36.7176581625
Arusha,Arusha Rural,Moshono,Laiza,36.73400867
Arusha,Arusha Rural,Moshono,Losrway,36.74362360000001
Arusha,Arusha Rural,Moshono,Mashono Kaskazini,36.741814704999996
Arusha,Arusha Rural,Moshono,Mtoni,36.72082047
Arusha,Arusha Rural,Moshono,Mtoni Kati,36.72084069
Arusha,Arusha Rural,Moshono,Nguru Mausi,36.75152525
Arusha,Arusha Rural,Moshono,Nguru Meusi,36.75496846
Arusha,Arusha Rural,Moshono,Olorieni,36.71890376
Arusha,Arusha Rural,Moshono,Olorieni Kat,36.72514377
Arusha,Arusha Rural,Moshono,Olorieni Kati,36.71993226
Arusha,Arusha Rural,Moshono,Rosrway,36.74248906
Arusha,Arusha Rural,Moshono,Sekei,36.74358482333333
Arusha,Arusha Rural,Moshono,Tanganyika Pekas,36.74437012
Arusha,Arusha Rural,Moshono,Tanganyika Pekasi,36.7431713
Arusha,Arusha Rural,Murieti,Leparumet,36.6483334025
Arusha,Arusha Rural,Murieti,Loibangoti,36.66235257
Arusha,Arusha Rural,Murieti,Mebaku,36.657242356666664
Arusha,Arusha Rural,Murieti,Ndorosi,36.65482462
Arusha,Arusha Rural,Murieti,Ngido,36.66246288
Arusha,Arusha Rural,Murieti,Ngidoti,36.65850749
Arusha,Arusha Rural,Murieti,Ngidutu,36.66150318333333
Arusha,Arusha Rural,Murieti,Ngweamu,36.65331907
Arusha,Arusha Rural,Murieti,Ngwramu,36.651960435
Arusha,Arusha Rural,Murieti,Sabore,36.64870859
Arusha,Arusha Rural,Murieti,Tarakwa,36.661994764285716
Arusha,Arusha Rural,Musa,Emanyata,36.5261929375
Arusha,Arusha Rural,Musa,Enjolo Ondare,36.509144974
Arusha,Arusha Rural,Musa,Eunoto,36.533098695
Arusha,Arusha Rural,Musa,Ingolienito,36.4807924
Arusha,Arusha Rural,Musa,Likamba,36.554545114999996
Arusha,Arusha Rural,Musa,Lobon,36.548914205
Arusha,Arusha Rural,Musa,Lolopon,36.51988825666667
Arusha,Arusha Rural,Musa,Lomishila,36.576672656666666
Arusha,Arusha Rural,Musa,Ngovuvulana,36.54075791
Arusha,Arusha Rural,Musa,Olkilorit,36.47163087
Arusha,Arusha Rural,Mwandeti,Engawale,36.58921539
Arusha,Arusha Rural,Mwandeti,Imbibia Kati,36.566749380000005
Arusha,Arusha Rural,Mwandeti,Lembashishi,36.577630235
Arusha,Arusha Rural,Mwandeti,Losilo,36.56611187
Arusha,Arusha Rural,Mwandeti,Mbukala,36.588140245
Arusha,Arusha Rural,Mwandeti,Ololikoti,36.590877135
Arusha,Arusha Rural,Mwandeti,Olubombani,36.540866765000004
Arusha,Arusha Rural,Mwandeti,Olumkuna,36.57408437
Arusha,Arusha Rural,Mwandeti,Shuleni,36.602861123333334
Arusha,Arusha Rural,Mwandeti,Sukumeni,36.56309652
Arusha,Arusha Rural,Nduruma,Kitongojini,36.86282412
Arusha,Arusha Rural,Nduruma,Maloloi,36.777481486666666
Arusha,Arusha Rural,Nduruma,Marurani Juu,36.81098440925926
Arusha,Arusha Rural,Nduruma,Marurani Kati,36.82371761372881
Arusha,Arusha Rural,Nduruma,Marurani Kusini,36.847929278
Arusha,Arusha Rural,Nduruma,Msumbiji,36.84235978842105
Arusha,Arusha Rural,Nduruma,Nduruma Kati,36.792427430000004
Arusha,Arusha Rural,Nduruma,Nduruma Madukani,36.796231304
Arusha,Arusha Rural,Nduruma,Olidendereiti,36.7810419
Arusha,Arusha Rural,Nduruma,Samaria,36.80665823777778
Arusha,Arusha Rural,Nduruma,Sandawe,36.8021423275
Arusha,Arusha Rural,Nduruma,Unguuni,36.7997682175
Arusha,Arusha Rural,Nduruma,Zaire,36.850741262
Arusha,Arusha Rural,Oldonyosambu,Engedeko,36.727650647999994
Arusha,Arusha Rural,Oldonyosambu,Engutukoit,36.74369885
Arusha,Arusha Rural,Oldonyosambu,Lemanda,36.678936
Arusha,Arusha Rural,Oldonyosambu,Losinoni Juu,36.745102165
Arusha,Arusha Rural,Oldonyosambu,Madukani,36.66349662777778
Arusha,Arusha Rural,Oldonyosambu,Maleu,36.69526249111111
Arusha,Arusha Rural,Oldonyosambu,Maurani,36.65724450285715
Arusha,Arusha Rural,Oldonyosambu,Oldonyowas,36.711207992727275
Arusha,Arusha Rural,Oldonyosambu,Patruman,36.71709812363636
Arusha,Arusha Rural,Oldonyosambu,Sura,36.703575210000004
Arusha,Arusha Rural,Oljoro,Olmotonyi,36.69540442
Arusha,Arusha Rural,Oljoro,Ujamaa,36.69052956
Arusha,Arusha Rural,Olkokola,Engorika,36.656655205
Arusha,Arusha Rural,Olkokola,Fetinalii,36.6358451075
Arusha,Arusha Rural,Olkokola,Idulele,36.59446587666667
Arusha,Arusha Rural,Olkokola,Kandaskilieti,36.6541694375
Arusha,Arusha Rural,Olkokola,Kiboli,36.60112430666667
Arusha,Arusha Rural,Olkokola,Kimoli,36.60803605
Arusha,Arusha Rural,Olkokola,Lemanyata,36.625324260000006
Arusha,Arusha Rural,Olkokola,Lenjani,36.636099509999994
Arusha,Arusha Rural,Olkokola,Lolimotonya,36.63195892
Arusha,Arusha Rural,Olkokola,Lolimotonyi,36.63112017
Arusha,Arusha Rural,Olkokola,Lolomotonyi,36.63062667
Arusha,Arusha Rural,Olkokola,Matini,36.64164776647059
Arusha,Arusha Rural,Olkokola,Ngaluma,36.625923472222226
Arusha,Arusha Rural,Olkokola,Ngorika,36.652260195
Arusha,Arusha Rural,Olkokola,Olama,36.650651439166666
Arusha,Arusha Rural,Olkokola,Olkurolit,36.64136948
Arusha,Arusha Rural,Olkokola,Ololua,36.61235163333333
Arusha,Arusha Rural,Olkokola,Olubomba,36.62438653666667
Arusha,Arusha Rural,Olkokola,Rc,36.617826990714285
Arusha,Arusha Rural,Olkokola,Salunga,36.6174375375
Arusha,Arusha Rural,Olkokola,Shaudo,36.6391987425
Arusha,Arusha Rural,Olkokola,Stesheni,36.64612151666667
Arusha,Arusha Rural,Oltroto,Ikenywa,36.68173762235295
Arusha,Arusha Rural,Oltroto,Ilimadu,36.708114875
Arusha,Arusha Rural,Oltroto,Karatini,36.71150429
Arusha,Arusha Rural,Oltroto,Kimeroki,36.72098671571428
Arusha,Arusha Rural,Oltroto,Laizer,36.722412385
Arusha,Arusha Rural,Oltroto,Mangwa,36.714097385
Arusha,Arusha Rural,Oltroto,Olimareti,36.701500769999996
Arusha,Arusha Rural,Oltroto,Ologelo,36.714261235
Arusha,Arusha Rural,Oltroto,Olomatejo,36.70243708142857
Arusha,Arusha Rural,Oltroto,Oltroto,36.691277981249996
Arusha,Arusha Rural,Oltroto,Oroirwa,36.697412895
Arusha,Arusha Rural,Oltroto,Shuleni,36.708874485
Arusha,Arusha Rural,Oltroto,Soyekiutu,36.720538204
Arusha,Arusha Rural,Oltrumet,Afya,36.61166336266667
Arusha,Arusha Rural,Oltrumet,Kilimamoto,36.6193579
Arusha,Arusha Rural,Oltrumet,Kilimo,36.64733942
Arusha,Arusha Rural,Oltrumet,Lamayana,36.60572127
Arusha,Arusha Rural,Oltrumet,Losinoni,36.614769634285715
Arusha,Arusha Rural,Oltrumet,Madukani,36.627597915
Arusha,Arusha Rural,Oltrumet,Manyara,36.617702855
Arusha,Arusha Rural,Oltrumet,Mlangarini,36.60784552
Arusha,Arusha Rural,Oltrumet,Seuli,36.629315074285714
Arusha,Arusha Rural,Sokoni II,Ilkiroriti,36.72406477
Arusha,Arusha Rural,Sokoni II,Kijave,36.73910261
Arusha,Arusha Rural,Sokoni II,Kiutu,36.71373485666667
Arusha,Arusha Rural,Sokoni II,Kives,36.734282609999994
Arusha,Arusha Rural,Sokoni II,Langidare,36.7282173
Arusha,Arusha Rural,Sokoni II,Nambele,36.719438528
Arusha,Arusha Rural,Sokoni II,Naureni,36.71398708375
Arusha,Arusha Rural,Sokoni II,Ngoilenya,36.720943948
Arusha,Arusha Rural,Sokoni II,Nguikaa,36.73280889
Arusha,Arusha Rural,Sokoni II,Olovolusi,36.732662935
Arusha,Arusha Rural,Sokoni II,Simanjiro,36.718988815
Arusha,Arusha Urban,Baraa,Mapera,36.7366309
Arusha,Arusha Urban,Daraja Mbili,Daraja2,36.689861
Arusha,Arusha Urban,Daraja Mbili,Darajani,36.69504581
Arusha,Arusha Urban,Daraja Mbili,Jamhuri,36.68824574
Arusha,Arusha Urban,Elerai,Elerai,36.66145013
Arusha,Arusha Urban,Elerai,Kware,36.661894282000006
Arusha,Arusha Urban,Elerai,Samanga,36.66195455
Arusha,Arusha Urban,Elerai,Sambagani,36.66352066
Arusha,Arusha Urban,Elerai,Urundini,36.65746371
Arusha,Arusha Urban,Engutoto,Kambarage,36.71650559
Arusha,Arusha Urban,Kaloleni,Kaloleni Mashariki,36.68998419
Arusha,Arusha Urban,Kaloleni,Kaloleni Mita 200,36.69003706
Arusha,Arusha Urban,Kimandolu,Kijenge Chini,36.70640041
Arusha,Arusha Urban,Kimandolu,Kijenge Juu,36.70860813
Arusha,Arusha Urban,Lemara,Kikwakwaru,36.695275734999996
Arusha,Arusha Urban,Lemara,Korongoni,36.70452005
Arusha,Arusha Urban,Levolosi,Levolos Mita 200,36.68266629
Arusha,Arusha Urban,Levolosi,Mjini Kati,36.68571714
Arusha,Arusha Urban,Ngarenaro,Kambi Ya Fisi,36.67433767
Arusha,Arusha Urban,Ngarenaro,Mtaa Wa Darajani,36.67346831
Arusha,Arusha Urban,Ngarenaro,Olmatejoo,36.67150135
Arusha,Arusha Urban,Olorien,Jengemwanama,36.71094552
Arusha,Arusha Urban,Olorien,Mbeshere,36.70797002
Arusha,Arusha Urban,Olorien,Mwanama,36.71033722
Arusha,Arusha Urban,Sekei,Sanawari,36.69575515
Arusha,Arusha Urban,Sekei,Sanawarii,36.69589628
Arusha,Arusha Urban,Sokon I,Kilimani,36.68150944
Arusha,Arusha Urban,Sokon I,Longdong,36.67596786
Arusha,Arusha Urban,Sokon I,Mbugani,36.67838714
Arusha,Arusha Urban,Sokon I,Olovolosi,36.68044954
Arusha,Arusha Urban,Sombetini,Kirika B,36.65870108
Arusha,Arusha Urban,Sombetini,Majengo Chini,36.65805282
Arusha,Arusha Urban,Sombetini,Osunyai,36.66801829999999
Arusha,Arusha Urban,Sombetini,Simanjiro,36.66119084
Arusha,Arusha Urban,Terrat,Bondeni,36.69592455
Arusha,Arusha Urban,Terrat,Elwan,36.68260445
Arusha,Arusha Urban,Terrat,Elwayn,36.68154102
Arusha,Arusha Urban,Terrat,Kitong'Wa,36.69254058
Arusha,Arusha Urban,Terrat,Letaiyo,36.70206777
Arusha,Arusha Urban,Terrat,Mtongwaa,36.69667679
Arusha,Arusha Urban,Themi,Themi Mashariki,36.70002704
Arusha,Arusha Urban,Unga Ltd,Makaburi Ya Baniani,36.675342586666666
Arusha,Arusha Urban,Unga Ltd,Osterbay,36.67105401
Arusha,Arusha Urban,Unga Ltd,Viwandani,36.683478735
Arusha,Karatu,Barray,Barray,35.36786067333333
Arusha,Karatu,Barray,Darajani,35.376488508
Arusha,Karatu,Barray,G,35.34982133
Arusha,Karatu,Barray,Kambi Ya Simba,35.43158843
Arusha,Karatu,Barray,Kati,35.38925325
Arusha,Karatu,Barray,Kigongoni,35.39175309666667
Arusha,Karatu,Barray,Mbuyuni,35.3732236425
Arusha,Karatu,Barray,Mpomeni,35.368158230000006
Arusha,Karatu,Barray,Mwembeni,35.38853275
Arusha,Karatu,Barray,Shuleni,35.33595306
Arusha,Karatu,Daa,Insi,35.5933726
Arusha,Karatu,Daa,Keidofa,35.496725489999996
Arusha,Karatu,Daa,Komwex,35.577162015
Arusha,Karatu,Daa,Kroma,35.58214138
Arusha,Karatu,Daa,Sabrata,35.57561153
Arusha,Karatu,Daa,Sabreta,35.57598197
Arusha,Karatu,Daa,Subreta,35.587091224999995
Arusha,Karatu,Daa,Yudek,35.50024972333333
Arusha,Karatu,Endabash,Ambara,35.69700061
Arusha,Karatu,Endabash,Arahati,35.610595585
Arusha,Karatu,Endabash,Arati,35.664815874
Arusha,Karatu,Endabash,Ariahati,35.63843601
Arusha,Karatu,Endabash,Ayarati,35.66128416
Arusha,Karatu,Endabash,Bagayu,35.69267098
Arusha,Karatu,Endabash,Barae,35.62401391
Arusha,Karatu,Endabash,Bare A,35.667009198
Arusha,Karatu,Endabash,Center,35.66423646
Arusha,Karatu,Endabash,Creta,35.6674934
Arusha,Karatu,Endabash,D/Magharibi,35.5949178725
Arusha,Karatu,Endabash,D/Mashariki,35.61716649571429
Arusha,Karatu,Endabash,Endalah,35.72860929
Arusha,Karatu,Endabash,Endallah,35.72974488
Arusha,Karatu,Endabash,Endamarariek,35.65367106
Arusha,Karatu,Endabash,Hambar,35.698500265
Arusha,Karatu,Endabash,Mangisa,35.627247694999994
Arusha,Karatu,Endabash,Manusai,35.74184848666667
Arusha,Karatu,Endabash,Masabeda,35.71420261666667
Arusha,Karatu,Endabash,Qaru,35.630050385000004
Arusha,Karatu,Endabash,Salama,35.60889302333333
Arusha,Karatu,Endabash,Shangiti,35.71629258
Arusha,Karatu,Endabash,Tlaa,35.624096655
Arusha,Karatu,Kansay,Dum,35.61071665
Arusha,Karatu,Kansay,Geer,35.5985086
Arusha,Karatu,Kansay,Kainam,35.59531683
Arusha,Karatu,Karatu,Barazani,35.668774545000005
Arusha,Karatu,Karatu,Genda,35.67847291
Arusha,Karatu,Karatu,Gwandumehi,35.70173906
Arusha,Karatu,Karatu,Gwandumei,35.71183211
Arusha,Karatu,Karatu,Kati,35.675614487999994
Arusha,Karatu,Karatu,Maliyasili,35.67820973
Arusha,Karatu,Karatu,Maliyasiri,35.670910045
Arusha,Karatu,Karatu,Masabeda,35.69052853
Arusha,Karatu,Karatu,Nmc,35.68424057
Arusha,Karatu,Karatu,Rambo Kaskazini,35.70593919
Arusha,Karatu,Karatu,Tfa,35.67529939666667
Arusha,Karatu,Karatu,Titiwi,35.68653895
Arusha,Karatu,Mang'ola,Bugharga,35.2982029
Arusha,Karatu,Mang'ola,Bukarga,35.293842100000006
Arusha,Karatu,Mang'ola,Gidabash,35.29921917
Arusha,Karatu,Mang'ola,Gidaburjek,35.30877299
Arusha,Karatu,Mang'ola,Gidbash,35.29898732
Arusha,Karatu,Mang'ola,Gidibashi,35.3029403
Arusha,Karatu,Mang'ola,Maganyo,35.31115727
Arusha,Karatu,Mang'ola,Maifora,35.33220883
Arusha,Karatu,Mang'ola,Makanyo,35.30681809
Arusha,Karatu,Mang'ola,Masiel,35.31199794
Arusha,Karatu,Mang'ola,Migungani,35.33584213
Arusha,Karatu,Mang'ola,Mlimani,35.33551044
Arusha,Karatu,Mang'ola,Mrangarini,35.33796284
Arusha,Karatu,Mang'ola,Mswakini,35.318126315
Arusha,Karatu,Mang'ola,Nrangareni,35.33996054
Arusha,Karatu,Mang'ola,Sasagwenju,35.333802745
Arusha,Karatu,Mang'ola,Shuleni,35.33197975
Arusha,Karatu,Mang'ola,Simangeda,35.35405406
Arusha,Karatu,Mbulumbulu,Alsini,35.83732718
Arusha,Karatu,Mbulumbulu,Atsin,35.83961593
Arusha,Karatu,Mbulumbulu,Atsini,35.836435085
Arusha,Karatu,Mbulumbulu,Barai,35.8377038075
Arusha,Karatu,Mbulumbulu,Bonde La Faru,35.882531404999995
Arusha,Karatu,Mbulumbulu,Fithal,35.859060265
Arusha,Karatu,Mbulumbulu,Genda,35.8259339175
Arusha,Karatu,Mbulumbulu,Hansi,35.88096345
Arusha,Karatu,Mbulumbulu,Hathins,35.87747054
Arusha,Karatu,Mbulumbulu,Hhalki,35.82647009
Arusha,Karatu,Mbulumbulu,Hharki,35.80973101
Arusha,Karatu,Mbulumbulu,Juu,35.9045900075
Arusha,Karatu,Mbulumbulu,Kati,35.8873386125
Arusha,Karatu,Mbulumbulu,Kituma,35.910820996666665
Arusha,Karatu,Mbulumbulu,Lengipima,35.908716007500004
Arusha,Karatu,Mbulumbulu,Lengitima,35.904918815
Arusha,Karatu,Mbulumbulu,Mbonde Lafaru,35.87873549
Arusha,Karatu,Mbulumbulu,Njoro,35.85180646
Arusha,Karatu,Mbulumbulu,Qanqali,35.878324140000004
Arusha,Karatu,Mbulumbulu,Sabasaba,35.861745345
Arusha,Karatu,Mbulumbulu,Serera,35.916886596666664
Arusha,Karatu,Mbulumbulu,Siayi Chini,35.797197175
Arusha,Karatu,Mbulumbulu,Siayi Juu,35.7905793275
Arusha,Karatu,Mbulumbulu,Tasata,35.782550725
Arusha,Karatu,Mbulumbulu,Tdd,35.84229132
Arusha,Karatu,Mbulumbulu,Tlawi Juu,35.80329415
Arusha,Karatu,Mbulumbulu,Tlawi Kati,35.805942825
Arusha,Karatu,Mbulumbulu,Tloma,35.864177604000005
Arusha,Karatu,Mbulumbulu,Tsini,35.82707985
Arusha,Karatu,Mbulumbulu,W/S,35.835866085
Arusha,Karatu,Mbulumbulu,Wtskim,35.83491709
Arusha,Karatu,Oldeani,Kiwanja,35.55653602
Arusha,Karatu,Oldeani,Ng'Ambo,35.56498298
Arusha,Karatu,Qurus,Athin Kati,35.66681041
Arusha,Karatu,Qurus,Athni Mwisho,35.67359224
Arusha,Karatu,Qurus,Baqari,35.65966485
Arusha,Karatu,Qurus,Dofa,35.61035184166666
Arusha,Karatu,Qurus,Gitmaja,35.589736200000004
Arusha,Karatu,Qurus,Halei,35.64655137
Arusha,Karatu,Qurus,Halet,35.636601815
Arusha,Karatu,Qurus,Huduma,35.670625220000005
Arusha,Karatu,Qurus,Kaskazini,35.69230381
Arusha,Karatu,Qurus,Kati,35.644937
Arusha,Karatu,Qurus,Kinehe,35.66301588
Arusha,Karatu,Qurus,Kinihe,35.65822296
Arusha,Karatu,Qurus,Kiwabdani,35.67015578
Arusha,Karatu,Qurus,Kiwandani,35.667695153333334
Arusha,Karatu,Qurus,Kusini,35.687048749999995
Arusha,Karatu,Qurus,Magharibi,35.683625899999996
Arusha,Karatu,Qurus,Mefurda,35.624071380000004
Arusha,Karatu,Qurus,Mende,35.624920620000005
Arusha,Karatu,Qurus,Sabato,35.655546154999996
Arusha,Karatu,Qurus,Ufana,35.62772085
Arusha,Karatu,Qurus,Umbe,35.635343166666665
Arusha,Karatu,Rhotia,Haria B,35.74216372
Arusha,Karatu,Rhotia,Juu,35.74174245
Arusha,Karatu,Rhotia,Kainam,35.7277181925
Arusha,Karatu,Rhotia,Kati,35.737003926
Arusha,Karatu,Rhotia,Marera,35.71706820333333
Arusha,Karatu,Rhotia,Marere,35.7234706575
Arusha,Karatu,Rhotia,Rhotia,35.718752775
Arusha,Longido,Engarenaibor,Embopong'I,36.541431079999995
Arusha,Longido,Engarenaibor,Engerin,36.566007905000006
Arusha,Longido,Engarenaibor,Engutukuorugos,36.454071305
Arusha,Longido,Engarenaibor,Ingerin,36.585825656
Arusha,Longido,Engarenaibor,Kimwati,36.51030125666667
Arusha,Longido,Engarenaibor,Kitarini,36.463949955000004
