region,lga,ward,subvillage,population_imputed_subvillage
Arusha,Arusha Rural,Kisongo,Losingila,100.0
Arusha,Arusha Rural,Kisongo,Lovilikuny,200.0
Arusha,Arusha Rural,Kisongo,Lovilukuny,200.0
Arusha,Arusha Rural,Kisongo,Matasa,200.0
Arusha,Arusha Rural,Kisongo,Naromolu,200.0
Arusha,Arusha Rural,Kisongo,Olesiraa,100.0
Arusha,Arusha Rural,Mateves,Lemgulu,200.0
Arusha,Arusha Rural,Mateves,Matasy,200.0
Arusha,Arusha Rural,Mateves,Milongoine,200.0
Arusha,Arusha Rural,Mateves,Mlimani Farm,400.0
Arusha,Arusha Rural,Mateves,Ngobob,200.0
Arusha,Arusha Rural,Mateves,Ngorbob,200.0
Arusha,Arusha Rural,Mateves,Nguruvani,200.0
Arusha,Arusha Rural,Mateves,Olnoswa,200.0
Arusha,Arusha Rural,Mateves,Saravo,200.0
Arusha,Arusha Rural,Mateves,Sovoyo,200.0
Arusha,Arusha Rural,Mlangarini,Bondeni,150.0
Arusha,Arusha Rural,Mlangarini,Kiselya,150.0
Arusha,Arusha Rural,Mlangarini,Lesoit,200.0
Arusha,Arusha Rural,Mlangarini,Lunesela,150.0
Arusha,Arusha Rural,Mlangarini,Majengo,150.0
Arusha,Arusha Rural,Mlangarini,Makao Mapya,150.0
Arusha,Arusha Rural,Mlangarini,Maloloi,150.0
Arusha,Arusha Rural,Mlangarini,Mbuni,200.0
Arusha,Arusha Rural,Mlangarini,Mlangarini Kati,150.0
Arusha,Arusha Rural,Mlangarini,Mlimani,150.0
Arusha,Arusha Rural,Mlangarini,Muungano,200.0
Arusha,Arusha Rural,Mlangarini,Olodendereit,200.0
Arusha,Arusha Rural,Mlangarini,Olomitu,150.0
Arusha,Arusha Rural,Mlangarini,Olumesela,150.0
Arusha,Arusha Rural,Mlangarini,Upendo,150.0
Arusha,Arusha Rural,Moivo,Enaboishu,150.0
Arusha,Arusha Rural,Moivo,Ilboru,200.0
Arusha,Arusha Rural,Moivo,Lebusha,183.33333333333334
Arusha,Arusha Rural,Moivo,Leshabala,166.66666666666666
Arusha,Arusha Rural,Moivo,Leshabale,150.0
Arusha,Arusha Rural,Moivo,Leshobale,150.0
Arusha,Arusha Rural,Moivo,Lesimanga,200.0
Arusha,Arusha Rural,Moivo,Lobora,150.25
Arusha,Arusha Rural,Moivo,Marikanda,200.0
Arusha,Arusha Rural,Moivo,Ndulele,177.88888888888889
Arusha,Arusha Rural,Moivo,Sama,160.0
Arusha,Arusha Rural,Moivo,Shule,200.0
Arusha,Arusha Rural,Moshono,Kalimaji,550.2
Arusha,Arusha Rural,Moshono,Kalimaji Kati,1.0
Arusha,Arusha Rural,Moshono,Karimaji,988.5
Arusha,Arusha Rural,Moshono,Laiza,954.0
Arusha,Arusha Rural,Moshono,Losrway,500.0
Arusha,Arusha Rural,Moshono,Mashono Kaskazini,760.0
Arusha,Arusha Rural,Moshono,Mtoni,1.0
Arusha,Arusha Rural,Moshono,Mtoni Kati,1.0
Arusha,Arusha Rural,Moshono,Nguru Mausi,2010.0
Arusha,Arusha Rural,Moshono,Nguru Meusi,1058.0
Arusha,Arusha Rural,Moshono,Olorieni,651.2
Arusha,Arusha Rural,Moshono,Olorieni Kat,1.0
Arusha,Arusha Rural,Moshono,Olorieni Kati,740.0
Arusha,Arusha Rural,Moshono,Rosrway,1410.0
Arusha,Arusha Rural,Moshono,Sekei,1780.0
Arusha,Arusha Rural,Moshono,Tanganyika Pekas,1.0
Arusha,Arusha Rural,Moshono,Tanganyika Pekasi,1.0
Arusha,Arusha Rural,Murieti,Leparumet,150.0
Arusha,Arusha Rural,Murieti,Loibangoti,150.0
Arusha,Arusha Rural,Murieti,Mebaku,150.0
Arusha,Arusha Rural,Murieti,Ndorosi,150.0
Arusha,Arusha Rural,Murieti,Ngido,150.0
Arusha,Arusha Rural,Murieti,Ngidoti,150.0
Arusha,Arusha Rural,Murieti,Ngidutu,150.0
Arusha,Arusha Rural,Murieti,Ngweamu,150.0
Arusha,Arusha Rural,Murieti,Ngwramu,200.0
Arusha,Arusha Rural,Murieti,Sabore,150.0
Arusha,Arusha Rural,Murieti,Tarakwa,150.0
Arusha,Arusha Rural,Musa,Emanyata,100.0
Arusha,Arusha Rural,Musa,Enjolo Ondare,100.0
Arusha,Arusha Rural,Musa,Eunoto,100.0
Arusha,Arusha Rural,Musa,Ingolienito,500.0
Arusha,Arusha Rural,Musa,Likamba,100.0
Arusha,Arusha Rural,Musa,Lobon,100.0
Arusha,Arusha Rural,Musa,Lolopon,100.0
Arusha,Arusha Rural,Musa,Lomishila,100.0
Arusha,Arusha Rural,Musa,Ngovuvulana,100.0
Arusha,Arusha Rural,Musa,Olkilorit,500.0
Arusha,Arusha Rural,Mwandeti,Engawale,200.0
Arusha,Arusha Rural,Mwandeti,Imbibia Kati,200.0
Arusha,Arusha Rural,Mwandeti,Lembashishi,200.0
Arusha,Arusha Rural,Mwandeti,Losilo,200.0
Arusha,Arusha Rural,Mwandeti,Mbukala,200.0
Arusha,Arusha Rural,Mwandeti,Ololikoti,200.0
Arusha,Arusha Rural,Mwandeti,Olubombani,200.0
Arusha,Arusha Rural,Mwandeti,Olumkuna,200.0
Arusha,Arusha Rural,Mwandeti,Shuleni,200.0
Arusha,Arusha Rural,Mwandeti,Sukumeni,100.0
Arusha,Arusha Rural,Nduruma,Kitongojini,200.0
Arusha,Arusha Rural,Nduruma,Maloloi,300.0
Arusha,Arusha Rural,Nduruma,Marurani Juu,112.96296296296296
Arusha,Arusha Rural,Nduruma,Marurani Kati,150.84745762711864
Arusha,Arusha Rural,Nduruma,Marurani Kusini,200.0
Arusha,Arusha Rural,Nduruma,Msumbiji,163.1578947368421
Arusha,Arusha Rural,Nduruma,Nduruma Kati,262.5
Arusha,Arusha Rural,Nduruma,Nduruma Madukani,300.0
Arusha,Arusha Rural,Nduruma,Olidendereiti,300.0
Arusha,Arusha Rural,Nduruma,Samaria,300.0
Arusha,Arusha Rural,Nduruma,Sandawe,300.0
Arusha,Arusha Rural,Nduruma,Unguuni,300.0
Arusha,Arusha Rural,Nduruma,Zaire,200.0
Arusha,Arusha Rural,Oldonyosambu,Engedeko,150.0
Arusha,Arusha Rural,Oldonyosambu,Engutukoit,150.0
Arusha,Arusha Rural,Oldonyosambu,Lemanda,150.0
Arusha,Arusha Rural,Oldonyosambu,Losinoni Juu,150.0
Arusha,Arusha Rural,Oldonyosambu,Madukani,166.66666666666666
Arusha,Arusha Rural,Oldonyosambu,Maleu,150.0
Arusha,Arusha Rural,Oldonyosambu,Maurani,150.0
Arusha,Arusha Rural,Oldonyosambu,Oldonyowas,150.0
Arusha,Arusha Rural,Oldonyosambu,Patruman,140.9090909090909
Arusha,Arusha Rural,Oldonyosambu,Sura,150.0
Arusha,Arusha Rural,Oljoro,Olmotonyi,100.0
Arusha,Arusha Rural,Oljoro,Ujamaa,100.0
Arusha,Arusha Rural,Olkokola,Engorika,150.0
Arusha,Arusha Rural,Olkokola,Fetinalii,150.0
Arusha,Arusha Rural,Olkokola,Idulele,150.0
Arusha,Arusha Rural,Olkokola,Kandaskilieti,150.0
Arusha,Arusha Rural,Olkokola,Kiboli,150.0
Arusha,Arusha Rural,Olkokola,Kimoli,150.0
Arusha,Arusha Rural,Olkokola,Lemanyata,150.0
Arusha,Arusha Rural,Olkokola,Lenjani,150.0
Arusha,Arusha Rural,Olkokola,Lolimotonya,150.0
Arusha,Arusha Rural,Olkokola,Lolimotonyi,150.0
Arusha,Arusha Rural,Olkokola,Lolomotonyi,150.0
Arusha,Arusha Rural,Olkokola,Matini,150.0
Arusha,Arusha Rural,Olkokola,Ngaluma,150.0
Arusha,Arusha Rural,Olkokola,Ngorika,150.0
Arusha,Arusha Rural,Olkokola,Olama,150.0
Arusha,Arusha Rural,Olkokola,Olkurolit,150.0
Arusha,Arusha Rural,Olkokola,Ololua,150.0
Arusha,Arusha Rural,Olkokola,Olubomba,150.0
Arusha,Arusha Rural,Olkokola,Rc,150.0
Arusha,Arusha Rural,Olkokola,Salunga,150.0
Arusha,Arusha Rural,Olkokola,Shaudo,150.0
Arusha,Arusha Rural,Olkokola,Stesheni,156.66666666666666
Arusha,Arusha Rural,Oltroto,Ikenywa,185.2941176470588
Arusha,Arusha Rural,Oltroto,Ilimadu,150.0
Arusha,Arusha Rural,Oltroto,Karatini,150.0
Arusha,Arusha Rural,Oltroto,Kimeroki,150.0
Arusha,Arusha Rural,Oltroto,Laizer,150.0
Arusha,Arusha Rural,Oltroto,Mangwa,150.0
Arusha,Arusha Rural,Oltroto,Olimareti,225.0
Arusha,Arusha Rural,Oltroto,Ologelo,150.0
Arusha,Arusha Rural,Oltroto,Olomatejo,150.0
Arusha,Arusha Rural,Oltroto,Oltroto,300.0
Arusha,Arusha Rural,Oltroto,Oroirwa,150.0
Arusha,Arusha Rural,Oltroto,Shuleni,187.5
Arusha,Arusha Rural,Oltroto,Soyekiutu,150.0
Arusha,Arusha Rural,Oltrumet,Afya,200.0
Arusha,Arusha Rural,Oltrumet,Kilimamoto,200.0
Arusha,Arusha Rural,Oltrumet,Kilimo,200.0
Arusha,Arusha Rural,Oltrumet,Lamayana,200.0
Arusha,Arusha Rural,Oltrumet,Losinoni,185.71428571428572
Arusha,Arusha Rural,Oltrumet,Madukani,200.0
Arusha,Arusha Rural,Oltrumet,Manyara,200.0
Arusha,Arusha Rural,Oltrumet,Mlangarini,225.0
Arusha,Arusha Rural,Oltrumet,Seuli,189.28571428571428
Arusha,Arusha Rural,Sokoni II,Ilkiroriti,150.0
Arusha,Arusha Rural,Sokoni II,Kijave,200.0
Arusha,Arusha Rural,Sokoni II,Kiutu,200.0
Arusha,Arusha Rural,Sokoni II,Kives,200.0
Arusha,Arusha Rural,Sokoni II,Langidare,150.0
Arusha,Arusha Rural,Sokoni II,Nambele,150.0
Arusha,Arusha Rural,Sokoni II,Naureni,218.75
Arusha,Arusha Rural,Sokoni II,Ngoilenya,180.0
Arusha,Arusha Rural,Sokoni II,Nguikaa,500.0
Arusha,Arusha Rural,Sokoni II,Olovolusi,175.0
Arusha,Arusha Rural,Sokoni II,Simanjiro,200.0
Arusha,Arusha Urban,Baraa,Mapera,4580.0
Arusha,Arusha Urban,Daraja Mbili,Daraja2,860.0
Arusha,Arusha Urban,Daraja Mbili,Darajani,750.0
Arusha,Arusha Urban,Daraja Mbili,Jamhuri,2100.0
Arusha,Arusha Urban,Elerai,Elerai,930.0
Arusha,Arusha Urban,Elerai,Kware,1.0
Arusha,Arusha Urban,Elerai,Samanga,696.6666666666666
Arusha,Arusha Urban,Elerai,Sambagani,1.0
Arusha,Arusha Urban,Elerai,Urundini,720.0
Arusha,Arusha Urban,Engutoto,Kambarage,2300.0
Arusha,Arusha Urban,Kaloleni,Kaloleni Mashariki,860.0
Arusha,Arusha Urban,Kaloleni,Kaloleni Mita 200,373.0
Arusha,Arusha Urban,Kimandolu,Kijenge Chini,530.0
Arusha,Arusha Urban,Kimandolu,Kijenge Juu,1.0
Arusha,Arusha Urban,Lemara,Kikwakwaru,1.0
Arusha,Arusha Urban,Lemara,Korongoni,300.5
Arusha,Arusha Urban,Levolosi,Levolos Mita 200,1.0
Arusha,Arusha Urban,Levolosi,Mjini Kati,
Arusha,Arusha Urban,Ngarenaro,Kambi Ya Fisi,1.0
Arusha,Arusha Urban,Ngarenaro,Mtaa Wa Darajani,960.0
Arusha,Arusha Urban,Ngarenaro,Olmatejoo,1.0
Arusha,Arusha Urban,Olorien,Jengemwanama,1.0
Arusha,Arusha Urban,Olorien,Mbeshere,4500.0
Arusha,Arusha Urban,Olorien,Mwanama,1445.5
Arusha,Arusha Urban,Sekei,Sanawari,1250.5
Arusha,Arusha Urban,Sekei,Sanawarii,680.0
Arusha,Arusha Urban,Sokon I,Kilimani,1.0
Arusha,Arusha Urban,Sokon I,Longdong,1.0
Arusha,Arusha Urban,Sokon I,Mbugani,715.0
Arusha,Arusha Urban,Sokon I,Olovolosi,430.0
Arusha,Arusha Urban,Sombetini,Kirika B,870.0
Arusha,Arusha Urban,Sombetini,Majengo Chini,1.0
Arusha,Arusha Urban,Sombetini,Osunyai,9500.0
Arusha,Arusha Urban,Sombetini,Simanjiro,1.0
Arusha,Arusha Urban,Terrat,Bondeni,850.0
Arusha,Arusha Urban,Terrat,Elwan,540.0
Arusha,Arusha Urban,Terrat,Elwayn,1215.0
Arusha,Arusha Urban,Terrat,Kitong'Wa,980.0
Arusha,Arusha Urban,Terrat,Letaiyo,800.0
Arusha,Arusha Urban,Terrat,Mtongwaa,640.0
Arusha,Arusha Urban,Themi,Themi Mashariki,1.0
Arusha,Arusha Urban,Unga Ltd,Makaburi Ya Baniani,422.0
Arusha,Arusha Urban,Unga Ltd,Osterbay,470.0
Arusha,Arusha Urban,Unga Ltd,Viwandani,1215.5
Arusha,Karatu,Barray,Barray,390.0
Arusha,Karatu,Barray,Darajani,248.0
Arusha,Karatu,Barray,G,1.0
Arusha,Karatu,Barray,Kambi Ya Simba,1000.0
Arusha,Karatu,Barray,Kati,233.33333333333334
Arusha,Karatu,Barray,Kigongoni,166.66666666666666
Arusha,Karatu,Barray,Mbuyuni,212.5
Arusha,Karatu,Barray,Mpomeni,1100.0
Arusha,Karatu,Barray,Mwembeni,150.0
Arusha,Karatu,Barray,Shuleni,2800.0
Arusha,Karatu,Daa,Insi,200.0
Arusha,Karatu,Daa,Keidofa,716.6666666666666
Arusha,Karatu,Daa,Komwex,175.0
Arusha,Karatu,Daa,Kroma,200.0
Arusha,Karatu,Daa,Sabrata,150.0
Arusha,Karatu,Daa,Sabreta,225.0
Arusha,Karatu,Daa,Subreta,150.0
Arusha,Karatu,Daa,Yudek,366.6666666666667
Arusha,Karatu,Endabash,Ambara,800.0
Arusha,Karatu,Endabash,Arahati,612.5
Arusha,Karatu,Endabash,Arati,508.0
Arusha,Karatu,Endabash,Ariahati,608.0
Arusha,Karatu,Endabash,Ayarati,512.0
Arusha,Karatu,Endabash,Bagayu,500.0
Arusha,Karatu,Endabash,Barae,800.0
Arusha,Karatu,Endabash,Bare A,2000.0
Arusha,Karatu,Endabash,Center,425.0
Arusha,Karatu,Endabash,Creta,500.0
Arusha,Karatu,Endabash,D/Magharibi,175.0
Arusha,Karatu,Endabash,D/Mashariki,392.85714285714283
Arusha,Karatu,Endabash,Endalah,100.0
Arusha,Karatu,Endabash,Endallah,100.0
Arusha,Karatu,Endabash,Endamarariek,500.0
Arusha,Karatu,Endabash,Hambar,1950.0
Arusha,Karatu,Endabash,Mangisa,265.0
Arusha,Karatu,Endabash,Manusai,883.3333333333334
Arusha,Karatu,Endabash,Masabeda,233.66666666666666
Arusha,Karatu,Endabash,Qaru,605.0
Arusha,Karatu,Endabash,Salama,266.6666666666667
Arusha,Karatu,Endabash,Shangiti,516.6666666666666
Arusha,Karatu,Endabash,Tlaa,700.0
Arusha,Karatu,Kansay,Dum,1200.0
Arusha,Karatu,Kansay,Geer,800.0
Arusha,Karatu,Kansay,Kainam,1600.0
Arusha,Karatu,Karatu,Barazani,1750.0
Arusha,Karatu,Karatu,Genda,300.0
Arusha,Karatu,Karatu,Gwandumehi,300.0
Arusha,Karatu,Karatu,Gwandumei,1000.0
Arusha,Karatu,Karatu,Kati,1840.0
Arusha,Karatu,Karatu,Maliyasili,2000.0
Arusha,Karatu,Karatu,Maliyasiri,850.0
Arusha,Karatu,Karatu,Masabeda,200.0
Arusha,Karatu,Karatu,Nmc,1500.0
Arusha,Karatu,Karatu,Rambo Kaskazini,1000.0
Arusha,Karatu,Karatu,Tfa,2000.0
Arusha,Karatu,Karatu,Titiwi,200.0
Arusha,Karatu,Mang'ola,Bugharga,100.0
Arusha,Karatu,Mang'ola,Bukarga,120.0
Arusha,Karatu,Mang'ola,Gidabash,210.0
Arusha,Karatu,Mang'ola,Gidaburjek,120.0
Arusha,Karatu,Mang'ola,Gidbash,100.0
Arusha,Karatu,Mang'ola,Gidibashi,100.0
Arusha,Karatu,Mang'ola,Maganyo,116.66666666666667
Arusha,Karatu,Mang'ola,Maifora,500.0
Arusha,Karatu,Mang'ola,Makanyo,50.0
Arusha,Karatu,Mang'ola,Masiel,100.0
Arusha,Karatu,Mang'ola,Migungani,2807.0
Arusha,Karatu,Mang'ola,Mlimani,1000.0
Arusha,Karatu,Mang'ola,Mrangarini,500.0
Arusha,Karatu,Mang'ola,Mswakini,800.0
Arusha,Karatu,Mang'ola,Nrangareni,1000.0
Arusha,Karatu,Mang'ola,Sasagwenju,800.0
Arusha,Karatu,Mang'ola,Shuleni,200.0
Arusha,Karatu,Mang'ola,Simangeda,500.0
Arusha,Karatu,Mbulumbulu,Alsini,200.0
Arusha,Karatu,Mbulumbulu,Atsin,300.0
Arusha,Karatu,Mbulumbulu,Atsini,225.0
Arusha,Karatu,Mbulumbulu,Barai,151.25
Arusha,Karatu,Mbulumbulu,Bonde La Faru,200.0
Arusha,Karatu,Mbulumbulu,Fithal,120.0
Arusha,Karatu,Mbulumbulu,Genda,175.0
Arusha,Karatu,Mbulumbulu,Hansi,230.0
Arusha,Karatu,Mbulumbulu,Hathins,200.0
Arusha,Karatu,Mbulumbulu,Hhalki,550.0
Arusha,Karatu,Mbulumbulu,Hharki,285.0
Arusha,Karatu,Mbulumbulu,Juu,127.5
Arusha,Karatu,Mbulumbulu,Kati,195.0
Arusha,Karatu,Mbulumbulu,Kituma,101.66666666666667
Arusha,Karatu,Mbulumbulu,Lengipima,195.0
Arusha,Karatu,Mbulumbulu,Lengitima,57.5
Arusha,Karatu,Mbulumbulu,Mbonde Lafaru,180.0
Arusha,Karatu,Mbulumbulu,Njoro,160.83333333333334
Arusha,Karatu,Mbulumbulu,Qanqali,200.0
Arusha,Karatu,Mbulumbulu,Sabasaba,200.0
Arusha,Karatu,Mbulumbulu,Serera,163.33333333333334
Arusha,Karatu,Mbulumbulu,Siayi Chini,178.0
Arusha,Karatu,Mbulumbulu,Siayi Juu,192.5
Arusha,Karatu,Mbulumbulu,Tasata,410.0
Arusha,Karatu,Mbulumbulu,Tdd,158.25
Arusha,Karatu,Mbulumbulu,Tlawi Juu,112.0
Arusha,Karatu,Mbulumbulu,Tlawi Kati,142.5
Arusha,Karatu,Mbulumbulu,Tloma,180.0
Arusha,Karatu,Mbulumbulu,Tsini,200.0
Arusha,Karatu,Mbulumbulu,W/S,200.0
Arusha,Karatu,Mbulumbulu,Wtskim,230.0
Arusha,Karatu,Oldeani,Kiwanja,133.33333333333334
Arusha,Karatu,Oldeani,Ng'Ambo,100.0
Arusha,Karatu,Qurus,Athin Kati,700.0
Arusha,Karatu,Qurus,Athni Mwisho,700.0
Arusha,Karatu,Qurus,Baqari,600.0
Arusha,Karatu,Qurus,Dofa,225.0
Arusha,Karatu,Qurus,Gitmaja,200.0
Arusha,Karatu,Qurus,Halei,300.0
Arusha,Karatu,Qurus,Halet,262.5
Arusha,Karatu,Qurus,Huduma,250.0
Arusha,Karatu,Qurus,Kaskazini,250.0
Arusha,Karatu,Qurus,Kati,300.0
Arusha,Karatu,Qurus,Kinehe,250.0
Arusha,Karatu,Qurus,Kinihe,900.0
Arusha,Karatu,Qurus,Kiwabdani,200.0
Arusha,Karatu,Qurus,Kiwandani,216.66666666666666
Arusha,Karatu,Qurus,Kusini,270.0
Arusha,Karatu,Qurus,Magharibi,270.0
Arusha,Karatu,Qurus,Mefurda,233.33333333333334
Arusha,Karatu,Qurus,Mende,195.0
Arusha,Karatu,Qurus,Sabato,525.0
Arusha,Karatu,Qurus,Ufana,750.0
Arusha,Karatu,Qurus,Umbe,216.66666666666666
Arusha,Karatu,Rhotia,Haria B,250.0
Arusha,Karatu,Rhotia,Juu,160.0
Arusha,Karatu,Rhotia,Kainam,125.0
Arusha,Karatu,Rhotia,Kati,140.0
Arusha,Karatu,Rhotia,Marera,88.33333333333333
Arusha,Karatu,Rhotia,Marere,150.0
Arusha,Karatu,Rhotia,Rhotia,100.0
Arusha,Longido,Engarenaibor,Embopong'I,325.0
Arusha,Longido,Engarenaibor,Engerin,275.0
Arusha,Longido,Engarenaibor,Engutukuorugos,450.0
Arusha,Longido,Engarenaibor,Ingerin,350.0
Arusha,Longido,Engarenaibor,Kimwati,216.66666666666666
Arusha,Longido,Engarenaibor,Kitarini,440.0
Arusha,Longido,Engarenaibor,Langata,475.0
Arusha,Longido,Engarenaibor,Lelek,750.0
Arusha,Longido,Engarenaibor,Leleki,1200.0
Arusha,Longido,Engarenaibor,Madukani,250.0
Arusha,Longido,Engarenaibor,Narpi,260.0
Arusha,Longido,Engarenaibor,Ngoswak,433.3333333333333
Arusha,Longido,Engarenaibor,Oldonyo,250.0
Arusha,Longido,Engarenaibor,Orkesumet,900.0
Arusha,Longido,Gelai Lumbwa,Ilchang'Itsapu,500.0
Arusha,Longido,Gelai Lumbwa,Madukani,175.0
Arusha,Longido,Gelai Lumbwa,Ndingika,600.0
Arusha,Longido,Gelai Lumbwa,Ndinyika,275.0
Arusha,Longido,Gelai Meirugoi,Madukani,780.0
Arusha,Longido,Gelai Meirugoi,Ng'Ong'Oi,1150.0
Arusha,Longido,Gelai Meirugoi,Orpura,187.5
Arusha,Longido,Ketumbeine,Alairataat,581.6666666666666
Arusha,Longido,Ketumbeine,Engusero,690.0
Arusha,Longido,Ketumbeine,Ing'Oswani,366.6666666666667
Arusha,Longido,Ketumbeine,Inginye,383.3333333333333
Arusha,Longido,Ketumbeine,Ingutot,1800.0
Arusha,Longido,Ketumbeine,King'Una,242.5
Arusha,Longido,Ketumbeine,Larikaria,100.0
Arusha,Longido,Ketumbeine,Larkaria,110.0
Arusha,Longido,Ketumbeine,Lepoloseki,722.3333333333334
Arusha,Longido,Ketumbeine,Loolturot,550.0
Arusha,Longido,Ketumbeine,Losinoni,150.0
Arusha,Longido,Ketumbeine,Madukani,640.1
Arusha,Longido,Ketumbeine,Mangula,692.8571428571429
Arusha,Longido,Ketumbeine,Mooton,530.0
Arusha,Longido,Ketumbeine,Naamalasi,3800.0
Arusha,Longido,Ketumbeine,Ndaleta,1075.0
Arusha,Longido,Ketumbeine,Olchoronyokye,194.25
Arusha,Longido,Ketumbeine,Ormanie,412.5
Arusha,Longido,Longido,Embalwa,250.0
Arusha,Longido,Longido,Loosikito,300.0
