region,lga,ward,subvillage,gps_height_imputed_subvillage
Arusha,Arusha Rural,Kiranyi,Burka,1325.0
Arusha,Arusha Rural,Kiranyi,Endeves,1064.375
Arusha,Arusha Rural,Kiranyi,Ilimitongo,1081.375
Arusha,Arusha Rural,Kiranyi,Inyuata,1424.4
Arusha,Arusha Rural,Kiranyi,Kibori,1482.6666666666667
Arusha,Arusha Rural,Kiranyi,Kigongoni,1043.6666666666667
Arusha,Arusha Rural,Kiranyi,Leparieti,1547.0
Arusha,Arusha Rural,Kiranyi,Longolu,1505.5
Arusha,Arusha Rural,Kiranyi,Moikani,1437.3333333333333
Arusha,Arusha Rural,Kiranyi,Mringa Msingi,1465.5
Arusha,Arusha Rural,Kiranyi,Mringa Sekondari,1473.4285714285713
Arusha,Arusha Rural,Kiranyi,Mutishu,1535.0
Arusha,Arusha Rural,Kiranyi,Natema,1584.4
Arusha,Arusha Rural,Kiranyi,Ndoivo,1440.5
Arusha,Arusha Rural,Kiranyi,Ngwramu,1452.5
Arusha,Arusha Rural,Kiranyi,Olorien,1485.2
Arusha,Arusha Rural,Kiranyi,Sabore,1466.0
Arusha,Arusha Rural,Kiranyi,Saborien,1476.6666666666667
Arusha,Arusha Rural,Kiranyi,Sakei,1421.6666666666667
Arusha,Arusha Rural,Kiranyi,School,1321.0
Arusha,Arusha Rural,Kiranyi,Soine,1445.4
Arusha,Arusha Rural,Kiranyi,Tanaka,1434.5
Arusha,Arusha Rural,Kiranyi,Voole,1474.0
Arusha,Arusha Rural,Kisongo,Engorora Kati,1382.5
Arusha,Arusha Rural,Kisongo,Longululu,1346.357142857143
Arusha,Arusha Rural,Kisongo,Longuluyo,1338.0
Arusha,Arusha Rural,Kisongo,Losingila,1345.0
Arusha,Arusha Rural,Kisongo,Lovilikuny,1366.0
Arusha,Arusha Rural,Kisongo,Lovilukuny,1361.0
Arusha,Arusha Rural,Kisongo,Matasa,1344.0
Arusha,Arusha Rural,Kisongo,Naromolu,1428.142857142857
Arusha,Arusha Rural,Kisongo,Olesiraa,1365.0
Arusha,Arusha Rural,Mateves,Lemgulu,1319.25
Arusha,Arusha Rural,Mateves,Matasy,1369.6666666666667
Arusha,Arusha Rural,Mateves,Milongoine,1370.0
Arusha,Arusha Rural,Mateves,Mlimani Farm,1348.3333333333333
Arusha,Arusha Rural,Mateves,Ngobob,1359.0
Arusha,Arusha Rural,Mateves,Ngorbob,1366.0
Arusha,Arusha Rural,Mateves,Nguruvani,1368.0
Arusha,Arusha Rural,Mateves,Olnoswa,1360.5
Arusha,Arusha Rural,Mateves,Saravo,1381.0
Arusha,Arusha Rural,Mateves,Sovoyo,1382.25
Arusha,Arusha Rural,Mlangarini,Bondeni,1109.0
Arusha,Arusha Rural,Mlangarini,Kiselya,1247.7
Arusha,Arusha Rural,Mlangarini,Lesoit,1180.3333333333333
Arusha,Arusha Rural,Mlangarini,Lunesela,1059.0
Arusha,Arusha Rural,Mlangarini,Majengo,1075.3
Arusha,Arusha Rural,Mlangarini,Makao Mapya,1078.6666666666667
Arusha,Arusha Rural,Mlangarini,Maloloi,1109.25
Arusha,Arusha Rural,Mlangarini,Mbuni,1215.0
Arusha,Arusha Rural,Mlangarini,Mlangarini Kati,1095.8235294117646
Arusha,Arusha Rural,Mlangarini,Mlimani,1254.6666666666667
Arusha,Arusha Rural,Mlangarini,Muungano,1171.4
Arusha,Arusha Rural,Mlangarini,Olodendereit,1147.0
Arusha,Arusha Rural,Mlangarini,Olomitu,1257.8
Arusha,Arusha Rural,Mlangarini,Olumesela,1082.0
Arusha,Arusha Rural,Mlangarini,Upendo,1064.4
Arusha,Arusha Rural,Moivo,Enaboishu,1476.0
Arusha,Arusha Rural,Moivo,Ilboru,1465.75
Arusha,Arusha Rural,Moivo,Lebusha,1495.0
Arusha,Arusha Rural,Moivo,Leshabala,1487.0
Arusha,Arusha Rural,Moivo,Leshabale,1468.75
Arusha,Arusha Rural,Moivo,Leshobale,1465.0
Arusha,Arusha Rural,Moivo,Lesimanga,1458.8
Arusha,Arusha Rural,Moivo,Lobora,1438.5
Arusha,Arusha Rural,Moivo,Marikanda,1460.5
Arusha,Arusha Rural,Moivo,Ndulele,1459.2222222222222
Arusha,Arusha Rural,Moivo,Sama,1446.4
Arusha,Arusha Rural,Moivo,Shule,1503.0
Arusha,Arusha Rural,Moshono,Kalimaji,1212.1
Arusha,Arusha Rural,Moshono,Kalimaji Kati,1241.0
Arusha,Arusha Rural,Moshono,Karimaji,1231.0
Arusha,Arusha Rural,Moshono,Laiza,1291.4
Arusha,Arusha Rural,Moshono,Losrway,1301.0
Arusha,Arusha Rural,Moshono,Mashono Kaskazini,1343.5
Arusha,Arusha Rural,Moshono,Mtoni,1275.0
Arusha,Arusha Rural,Moshono,Mtoni Kati,1274.0
Arusha,Arusha Rural,Moshono,Nguru Mausi,1315.0
Arusha,Arusha Rural,Moshono,Nguru Meusi,1308.5
Arusha,Arusha Rural,Moshono,Olorieni,1250.6
Arusha,Arusha Rural,Moshono,Olorieni Kat,1266.0
Arusha,Arusha Rural,Moshono,Olorieni Kati,1265.0
Arusha,Arusha Rural,Moshono,Rosrway,1285.0
Arusha,Arusha Rural,Moshono,Sekei,1347.3333333333333
Arusha,Arusha Rural,Moshono,Tanganyika Pekas,1316.0
Arusha,Arusha Rural,Moshono,Tanganyika Pekasi,1332.0
Arusha,Arusha Rural,Murieti,Leparumet,1528.25
Arusha,Arusha Rural,Murieti,Loibangoti,1578.0
Arusha,Arusha Rural,Murieti,Mebaku,1532.0
Arusha,Arusha Rural,Murieti,Ndorosi,1447.5
Arusha,Arusha Rural,Murieti,Ngido,1468.0
Arusha,Arusha Rural,Murieti,Ngidoti,1455.0
Arusha,Arusha Rural,Murieti,Ngidutu,1493.0
Arusha,Arusha Rural,Murieti,Ngweamu,1438.0
Arusha,Arusha Rural,Murieti,Ngwramu,1430.5
Arusha,Arusha Rural,Murieti,Sabore,1416.0
Arusha,Arusha Rural,Murieti,Tarakwa,1559.0
Arusha,Arusha Rural,Musa,Emanyata,1665.0
Arusha,Arusha Rural,Musa,Enjolo Ondare,1728.2
Arusha,Arusha Rural,Musa,Eunoto,1705.0
Arusha,Arusha Rural,Musa,Ingolienito,1381.0
Arusha,Arusha Rural,Musa,Likamba,1476.0
Arusha,Arusha Rural,Musa,Lobon,1521.75
Arusha,Arusha Rural,Musa,Lolopon,1556.3333333333333
Arusha,Arusha Rural,Musa,Lomishila,1532.8333333333333
Arusha,Arusha Rural,Musa,Ngovuvulana,1639.0
Arusha,Arusha Rural,Musa,Olkilorit,1418.0
Arusha,Arusha Rural,Mwandeti,Engawale,1737.0
Arusha,Arusha Rural,Mwandeti,Imbibia Kati,1797.5
Arusha,Arusha Rural,Mwandeti,Lembashishi,1539.5
Arusha,Arusha Rural,Mwandeti,Losilo,1656.0
Arusha,Arusha Rural,Mwandeti,Mbukala,1610.5
Arusha,Arusha Rural,Mwandeti,Ololikoti,1696.0
Arusha,Arusha Rural,Mwandeti,Olubombani,1903.0
Arusha,Arusha Rural,Mwandeti,Olumkuna,1899.0
Arusha,Arusha Rural,Mwandeti,Shuleni,1645.3333333333333
Arusha,Arusha Rural,Mwandeti,Sukumeni,1816.0
Arusha,Arusha Rural,Nduruma,Kitongojini,958.0
Arusha,Arusha Rural,Nduruma,Maloloi,1046.6666666666667
Arusha,Arusha Rural,Nduruma,Marurani Juu,1008.3148148148148
Arusha,Arusha Rural,Nduruma,Marurani Kati,977.8644067796611
Arusha,Arusha Rural,Nduruma,Marurani Kusini,958.3333333333334
Arusha,Arusha Rural,Nduruma,Msumbiji,970.6315789473684
Arusha,Arusha Rural,Nduruma,Nduruma Kati,1039.25
Arusha,Arusha Rural,Nduruma,Nduruma Madukani,985.6
Arusha,Arusha Rural,Nduruma,Olidendereiti,999.0
Arusha,Arusha Rural,Nduruma,Samaria,980.5555555555555
Arusha,Arusha Rural,Nduruma,Sandawe,986.0
Arusha,Arusha Rural,Nduruma,Unguuni,991.5
Arusha,Arusha Rural,Nduruma,Zaire,960.5
Arusha,Arusha Rural,Oldonyosambu,Engedeko,2033.2
Arusha,Arusha Rural,Oldonyosambu,Engutukoit,1431.0
Arusha,Arusha Rural,Oldonyosambu,Lemanda,1774.3333333333333
Arusha,Arusha Rural,Oldonyosambu,Losinoni Juu,1776.5
Arusha,Arusha Rural,Oldonyosambu,Madukani,1833.111111111111
Arusha,Arusha Rural,Oldonyosambu,Maleu,1854.0
Arusha,Arusha Rural,Oldonyosambu,Maurani,1699.857142857143
Arusha,Arusha Rural,Oldonyosambu,Oldonyowas,1918.6363636363637
Arusha,Arusha Rural,Oldonyosambu,Patruman,1622.6363636363637
Arusha,Arusha Rural,Oldonyosambu,Sura,1865.5
Arusha,Arusha Rural,Oljoro,Olmotonyi,1021.0
Arusha,Arusha Rural,Oljoro,Ujamaa,1012.8333333333334
Arusha,Arusha Rural,Olkokola,Engorika,2148.5
Arusha,Arusha Rural,Olkokola,Fetinalii,1830.5
Arusha,Arusha Rural,Olkokola,Idulele,1814.6666666666667
Arusha,Arusha Rural,Olkokola,Kandaskilieti,2069.5
Arusha,Arusha Rural,Olkokola,Kiboli,1787.3333333333333
Arusha,Arusha Rural,Olkokola,Kimoli,1734.0
Arusha,Arusha Rural,Olkokola,Lemanyata,1650.6666666666667
Arusha,Arusha Rural,Olkokola,Lenjani,1731.0
Arusha,Arusha Rural,Olkokola,Lolimotonya,1717.0
Arusha,Arusha Rural,Olkokola,Lolimotonyi,1736.0
Arusha,Arusha Rural,Olkokola,Lolomotonyi,1783.0
Arusha,Arusha Rural,Olkokola,Matini,1774.6470588235295
Arusha,Arusha Rural,Olkokola,Ngaluma,1843.6666666666667
Arusha,Arusha Rural,Olkokola,Ngorika,2025.0
Arusha,Arusha Rural,Olkokola,Olama,1871.4166666666667
Arusha,Arusha Rural,Olkokola,Olkurolit,1868.0
Arusha,Arusha Rural,Olkokola,Ololua,1747.8333333333333
Arusha,Arusha Rural,Olkokola,Olubomba,1820.5
Arusha,Arusha Rural,Olkokola,Rc,1663.2857142857142
Arusha,Arusha Rural,Olkokola,Salunga,1801.5
Arusha,Arusha Rural,Olkokola,Shaudo,1851.3125
Arusha,Arusha Rural,Olkokola,Stesheni,1873.0666666666666
Arusha,Arusha Rural,Oltroto,Ikenywa,1505.1764705882354
Arusha,Arusha Rural,Oltroto,Ilimadu,1747.5
Arusha,Arusha Rural,Oltroto,Karatini,1887.0
Arusha,Arusha Rural,Oltroto,Kimeroki,1687.142857142857
Arusha,Arusha Rural,Oltroto,Laizer,1626.0
Arusha,Arusha Rural,Oltroto,Mangwa,1826.75
Arusha,Arusha Rural,Oltroto,Olimareti,1498.25
Arusha,Arusha Rural,Oltroto,Ologelo,1602.5
Arusha,Arusha Rural,Oltroto,Olomatejo,1514.857142857143
Arusha,Arusha Rural,Oltroto,Oltroto,1526.75
Arusha,Arusha Rural,Oltroto,Oroirwa,1544.5
Arusha,Arusha Rural,Oltroto,Shuleni,1849.0
Arusha,Arusha Rural,Oltroto,Soyekiutu,1577.8
Arusha,Arusha Rural,Oltrumet,Afya,1520.9333333333334
Arusha,Arusha Rural,Oltrumet,Kilimamoto,1624.5
Arusha,Arusha Rural,Oltrumet,Kilimo,1584.0
Arusha,Arusha Rural,Oltrumet,Lamayana,1396.0
Arusha,Arusha Rural,Oltrumet,Losinoni,1580.857142857143
Arusha,Arusha Rural,Oltrumet,Madukani,1478.5
Arusha,Arusha Rural,Oltrumet,Manyara,1460.5
Arusha,Arusha Rural,Oltrumet,Mlangarini,1474.8333333333333
Arusha,Arusha Rural,Oltrumet,Seuli,1593.642857142857
Arusha,Arusha Rural,Sokoni II,Ilkiroriti,1605.0
Arusha,Arusha Rural,Sokoni II,Kijave,1566.0
Arusha,Arusha Rural,Sokoni II,Kiutu,1536.0
Arusha,Arusha Rural,Sokoni II,Kives,1515.5
Arusha,Arusha Rural,Sokoni II,Langidare,1513.5
Arusha,Arusha Rural,Sokoni II,Nambele,1474.0
Arusha,Arusha Rural,Sokoni II,Naureni,1471.875
Arusha,Arusha Rural,Sokoni II,Ngoilenya,1541.8
Arusha,Arusha Rural,Sokoni II,Nguikaa,1697.0
Arusha,Arusha Rural,Sokoni II,Olovolusi,1659.0
Arusha,Arusha Rural,Sokoni II,Simanjiro,1475.5
Arusha,Arusha Urban,Baraa,Mapera,1421.5
Arusha,Arusha Urban,Daraja Mbili,Daraja2,1333.0
Arusha,Arusha Urban,Daraja Mbili,Darajani,1347.0
Arusha,Arusha Urban,Daraja Mbili,Jamhuri,1346.0
Arusha,Arusha Urban,Elerai,Elerai,1407.0
Arusha,Arusha Urban,Elerai,Kware,1402.6
Arusha,Arusha Urban,Elerai,Samanga,1369.0
Arusha,Arusha Urban,Elerai,Sambagani,1371.0
Arusha,Arusha Urban,Elerai,Urundini,1365.0
Arusha,Arusha Urban,Engutoto,Kambarage,1309.0
Arusha,Arusha Urban,Kaloleni,Kaloleni Mashariki,1410.0
Arusha,Arusha Urban,Kaloleni,Kaloleni Mita 200,1427.75
Arusha,Arusha Urban,Kimandolu,Kijenge Chini,1360.0
Arusha,Arusha Urban,Kimandolu,Kijenge Juu,1424.0
Arusha,Arusha Urban,Lemara,Kikwakwaru,1306.5
Arusha,Arusha Urban,Lemara,Korongoni,1236.0
Arusha,Arusha Urban,Levolosi,Levolos Mita 200,1429.0
Arusha,Arusha Urban,Levolosi,Mjini Kati,1393.0
Arusha,Arusha Urban,Ngarenaro,Kambi Ya Fisi,1394.0
Arusha,Arusha Urban,Ngarenaro,Mtaa Wa Darajani,1391.0
Arusha,Arusha Urban,Ngarenaro,Olmatejoo,1379.0
Arusha,Arusha Urban,Olorien,Jengemwanama,1334.0
Arusha,Arusha Urban,Olorien,Mbeshere,1360.0
Arusha,Arusha Urban,Olorien,Mwanama,1356.5
Arusha,Arusha Urban,Sekei,Sanawari,1414.0
Arusha,Arusha Urban,Sekei,Sanawarii,1433.0
Arusha,Arusha Urban,Sokon I,Kilimani,1282.0
Arusha,Arusha Urban,Sokon I,Longdong,1291.0
Arusha,Arusha Urban,Sokon I,Mbugani,1342.0
Arusha,Arusha Urban,Sokon I,Olovolosi,1357.0
Arusha,Arusha Urban,Sombetini,Kirika B,1333.0
Arusha,Arusha Urban,Sombetini,Majengo Chini,1380.0
Arusha,Arusha Urban,Sombetini,Osunyai,1329.0
Arusha,Arusha Urban,Sombetini,Simanjiro,1360.0
Arusha,Arusha Urban,Terrat,Bondeni,1196.0
Arusha,Arusha Urban,Terrat,Elwan,1206.0
Arusha,Arusha Urban,Terrat,Elwayn,1207.0
Arusha,Arusha Urban,Terrat,Kitong'Wa,1225.0
Arusha,Arusha Urban,Terrat,Letaiyo,1242.0
Arusha,Arusha Urban,Terrat,Mtongwaa,1229.0
Arusha,Arusha Urban,Themi,Themi Mashariki,1325.0
Arusha,Arusha Urban,Unga Ltd,Makaburi Ya Baniani,1373.0
Arusha,Arusha Urban,Unga Ltd,Osterbay,1366.0
Arusha,Arusha Urban,Unga Ltd,Viwandani,1355.5
Arusha,Karatu,Barray,Barray,1073.3333333333333
Arusha,Karatu,Barray,Darajani,1091.6
Arusha,Karatu,Barray,G,1064.0
Arusha,Karatu,Barray,Kambi Ya Simba,1130.0
Arusha,Karatu,Barray,Kati,1080.0
Arusha,Karatu,Barray,Kigongoni,1092.0
Arusha,Karatu,Barray,Mbuyuni,1083.0
Arusha,Karatu,Barray,Mpomeni,1088.0
Arusha,Karatu,Barray,Mwembeni,1083.0
Arusha,Karatu,Barray,Shuleni,1055.0
Arusha,Karatu,Daa,Insi,1456.0
Arusha,Karatu,Daa,Keidofa,1606.6666666666667
Arusha,Karatu,Daa,Komwex,1419.5
Arusha,Karatu,Daa,Kroma,1416.0
Arusha,Karatu,Daa,Sabrata,1370.0
Arusha,Karatu,Daa,Sabreta,1397.0
Arusha,Karatu,Daa,Subreta,1405.0
Arusha,Karatu,Daa,Yudek,1549.6666666666667
Arusha,Karatu,Endabash,Ambara,1449.0
Arusha,Karatu,Endabash,Arahati,1494.25
Arusha,Karatu,Endabash,Arati,1380.8
Arusha,Karatu,Endabash,Ariahati,1455.0
Arusha,Karatu,Endabash,Ayarati,1380.0
Arusha,Karatu,Endabash,Bagayu,1364.5
Arusha,Karatu,Endabash,Barae,1361.0
Arusha,Karatu,Endabash,Bare A,1390.6
Arusha,Karatu,Endabash,Center,1461.5
Arusha,Karatu,Endabash,Creta,1454.0
Arusha,Karatu,Endabash,D/Magharibi,1513.25
Arusha,Karatu,Endabash,D/Mashariki,1527.2857142857142
Arusha,Karatu,Endabash,Endalah,1326.5
Arusha,Karatu,Endabash,Endallah,1342.0
Arusha,Karatu,Endabash,Endamarariek,1455.0
Arusha,Karatu,Endabash,Hambar,1419.0
Arusha,Karatu,Endabash,Mangisa,1507.0
Arusha,Karatu,Endabash,Manusai,1290.0
Arusha,Karatu,Endabash,Masabeda,1373.0
Arusha,Karatu,Endabash,Qaru,1456.5
Arusha,Karatu,Endabash,Salama,1501.6666666666667
Arusha,Karatu,Endabash,Shangiti,1316.3333333333333
Arusha,Karatu,Endabash,Tlaa,1388.5
Arusha,Karatu,Kansay,Dum,1624.0
Arusha,Karatu,Kansay,Geer,1689.0
Arusha,Karatu,Kansay,Kainam,1711.5
Arusha,Karatu,Karatu,Barazani,1526.5
Arusha,Karatu,Karatu,Genda,1463.0
Arusha,Karatu,Karatu,Gwandumehi,1484.0
Arusha,Karatu,Karatu,Gwandumei,1490.0
Arusha,Karatu,Karatu,Kati,1519.0
Arusha,Karatu,Karatu,Maliyasili,1495.0
Arusha,Karatu,Karatu,Maliyasiri,1506.0
Arusha,Karatu,Karatu,Masabeda,1487.0
Arusha,Karatu,Karatu,Nmc,1506.0
Arusha,Karatu,Karatu,Rambo Kaskazini,1455.0
Arusha,Karatu,Karatu,Tfa,1518.3333333333333
Arusha,Karatu,Karatu,Titiwi,1468.0
Arusha,Karatu,Mang'ola,Bugharga,1029.0
Arusha,Karatu,Mang'ola,Bukarga,1032.0
Arusha,Karatu,Mang'ola,Gidabash,1038.0
Arusha,Karatu,Mang'ola,Gidaburjek,1036.0
Arusha,Karatu,Mang'ola,Gidbash,1042.0
Arusha,Karatu,Mang'ola,Gidibashi,1039.0
Arusha,Karatu,Mang'ola,Maganyo,1043.3333333333333
Arusha,Karatu,Mang'ola,Maifora,1033.0
Arusha,Karatu,Mang'ola,Makanyo,1040.0
Arusha,Karatu,Mang'ola,Masiel,1042.0
Arusha,Karatu,Mang'ola,Migungani,1073.0
Arusha,Karatu,Mang'ola,Mlimani,1044.0
Arusha,Karatu,Mang'ola,Mrangarini,1036.0
Arusha,Karatu,Mang'ola,Mswakini,1028.0
Arusha,Karatu,Mang'ola,Nrangareni,1031.0
Arusha,Karatu,Mang'ola,Sasagwenju,1041.5
Arusha,Karatu,Mang'ola,Shuleni,1048.0
Arusha,Karatu,Mang'ola,Simangeda,1026.0
Arusha,Karatu,Mbulumbulu,Alsini,1547.0
Arusha,Karatu,Mbulumbulu,Atsin,1607.0
Arusha,Karatu,Mbulumbulu,Atsini,1581.5
Arusha,Karatu,Mbulumbulu,Barai,1843.25
Arusha,Karatu,Mbulumbulu,Bonde La Faru,1775.0
Arusha,Karatu,Mbulumbulu,Fithal,1623.5
Arusha,Karatu,Mbulumbulu,Genda,1684.0
Arusha,Karatu,Mbulumbulu,Hansi,1704.0
Arusha,Karatu,Mbulumbulu,Hathins,1714.0
Arusha,Karatu,Mbulumbulu,Hhalki,1380.0
Arusha,Karatu,Mbulumbulu,Hharki,1528.0
Arusha,Karatu,Mbulumbulu,Juu,1645.25
Arusha,Karatu,Mbulumbulu,Kati,1664.0
Arusha,Karatu,Mbulumbulu,Kituma,1789.0
Arusha,Karatu,Mbulumbulu,Lengipima,1805.75
Arusha,Karatu,Mbulumbulu,Lengitima,1761.0
Arusha,Karatu,Mbulumbulu,Mbonde Lafaru,1769.0
Arusha,Karatu,Mbulumbulu,Njoro,1776.8333333333333
Arusha,Karatu,Mbulumbulu,Qanqali,1606.5
Arusha,Karatu,Mbulumbulu,Sabasaba,1513.0
Arusha,Karatu,Mbulumbulu,Serera,1729.3333333333333
Arusha,Karatu,Mbulumbulu,Siayi Chini,1540.0
Arusha,Karatu,Mbulumbulu,Siayi Juu,1599.75
Arusha,Karatu,Mbulumbulu,Tasata,1523.5
Arusha,Karatu,Mbulumbulu,Tdd,1474.0
Arusha,Karatu,Mbulumbulu,Tlawi Juu,1667.4
Arusha,Karatu,Mbulumbulu,Tlawi Kati,1546.75
Arusha,Karatu,Mbulumbulu,Tloma,1698.8
Arusha,Karatu,Mbulumbulu,Tsini,1607.0
Arusha,Karatu,Mbulumbulu,W/S,1690.25
Arusha,Karatu,Mbulumbulu,Wtskim,1680.0
Arusha,Karatu,Oldeani,Kiwanja,1481.3333333333333
Arusha,Karatu,Oldeani,Ng'Ambo,1483.0
Arusha,Karatu,Qurus,Athin Kati,1449.0
Arusha,Karatu,Qurus,Athni Mwisho,1421.0
Arusha,Karatu,Qurus,Baqari,1441.0
Arusha,Karatu,Qurus,Dofa,1495.3333333333333
Arusha,Karatu,Qurus,Gitmaja,1387.0
Arusha,Karatu,Qurus,Halei,1497.0
Arusha,Karatu,Qurus,Halet,1536.0
Arusha,Karatu,Qurus,Huduma,1559.0
Arusha,Karatu,Qurus,Kaskazini,1517.5
Arusha,Karatu,Qurus,Kati,1489.75
Arusha,Karatu,Qurus,Kinehe,1502.0
Arusha,Karatu,Qurus,Kinihe,1533.0
Arusha,Karatu,Qurus,Kiwabdani,1542.0
Arusha,Karatu,Qurus,Kiwandani,1532.0
Arusha,Karatu,Qurus,Kusini,1513.0
Arusha,Karatu,Qurus,Magharibi,1498.2
Arusha,Karatu,Qurus,Mefurda,1521.0
Arusha,Karatu,Qurus,Mende,1441.1666666666667
Arusha,Karatu,Qurus,Sabato,1550.5
Arusha,Karatu,Qurus,Ufana,1529.5
Arusha,Karatu,Qurus,Umbe,1499.6666666666667
Arusha,Karatu,Rhotia,Haria B,1505.0
Arusha,Karatu,Rhotia,Juu,1595.8333333333333
Arusha,Karatu,Rhotia,Kainam,1503.75
Arusha,Karatu,Rhotia,Kati,1599.0
Arusha,Karatu,Rhotia,Marera,1544.3333333333333
Arusha,Karatu,Rhotia,Marere,1553.5
Arusha,Karatu,Rhotia,Rhotia,1550.5
Arusha,Longido,Engarenaibor,Embopong'I,1730.5
Arusha,Longido,Engarenaibor,Engerin,1663.0
Arusha,Longido,Engarenaibor,Engutukuorugos,1718.0
Arusha,Longido,Engarenaibor,Ingerin,1615.0
Arusha,Longido,Engarenaibor,Kimwati,1763.3333333333333
Arusha,Longido,Engarenaibor,Kitarini,1711.0
Arusha,Longido,Engarenaibor,Langata,1679.5
Arusha,Longido,Engarenaibor,Lelek,1456.0
Arusha,Longido,Engarenaibor,Leleki,1519.0
Arusha,Longido,Engarenaibor,Madukani,1697.3333333333333
Arusha,Longido,Engarenaibor,Narpi,1744.0
Arusha,Longido,Engarenaibor,Ngoswak,1676.6666666666667
Arusha,Longido,Engarenaibor,Oldonyo,1511.0
Arusha,Longido,Engarenaibor,Orkesumet,1666.0
Arusha,Longido,Gelai Lumbwa,Ilchang'Itsapu,1150.5
Arusha,Longido,Gelai Lumbwa,Madukani,1314.0
Arusha,Longido,Gelai Lumbwa,Ndingika,1237.0
Arusha,Longido,Gelai Lumbwa,Ndinyika,1271.5
Arusha,Longido,Gelai Meirugoi,Madukani,1172.6666666666667
Arusha,Longido,Gelai Meirugoi,Ng'Ong'Oi,1885.0
Arusha,Longido,Gelai Meirugoi,Orpura,648.75
